City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Westport,US,2020-06-16 06:13:51,41.14,-73.36,60.8,77,1,4.32
121,Qasigiannguit,GL,2020-06-16 06:13:51,68.82,-51.19,37.4,51,10,9.17
122,Nyagan,RU,2020-06-16 06:13:52,62.14,65.39,76.73,40,99,12.41
123,Iqaluit,CA,2020-06-16 06:13:52,63.75,-68.51,35.6,74,90,9.17
124,Carnarvon,AU,2020-06-16 06:13:52,-24.87,113.63,82.4,17,0,9.17
125,Atuona,PF,2020-06-16 06:13:53,-9.8,-139.03,80.31,74,75,14.47
126,Surt,LY,2020-06-16 06:13:53,31.21,16.59,71.35,75,0,16.37
127,Mahebourg,MU,2020-06-16 06:13:53,-20.41,57.7,75.2,64,40,13.87
128,Provideniya,RU,2020-06-16 06:13:54,64.38,-173.3,55.4,62,55,6.71
129,Saskylakh,RU,2020-06-16 06:13:55,71.92,114.08,54.19,56,60,19.89
130,Birao,CF,2020-06-16 06:13:55,10.28,22.79,80.31,60,71,4.14
131,Price,US,2020-06-16 06:09:25,39.6,-110.81,66.2,22,1,4.7
132,Ishigaki,JP,2020-06-16 06:13:56,24.34,124.16,89.6,79,40,17.22
133,Tasiilaq,GL,2020-06-16 06:13:57,65.61,-37.64,37.4,86,36,8.05
134,Barrow,US,2020-06-16 06:13:57,71.29,-156.79,33.8,86,90,16.11
135,Shache,CN,2020-06-16 06:13:57,38.42,77.24,88.29,15,38,5.08
136,Biak,ID,2020-06-16 06:13:58,-0.91,122.88,82.0,77,16,8.84
137,Touros,BR,2020-06-16 06:13:58,-5.2,-35.46,73.4,94,75,8.05
138,Grootfontein,NA,2020-06-16 06:13:58,-19.57,18.12,45.81,57,0,4.25
139,Birjand,IR,2020-06-16 06:13:58,32.87,59.22,93.2,7,0,9.17
140,Isla Mujeres,MX,2020-06-16 06:13:59,21.23,-86.73,82.0,83,75,4.7
141,Hasaki,JP,2020-06-16 06:13:59,35.73,140.83,91.0,58,20,11.41
142,Pangnirtung,CA,2020-06-16 06:13:59,66.15,-65.71,33.96,89,100,1.77
143,Sarangani,PH,2020-06-16 06:13:59,5.4,125.46,82.74,76,80,9.73
144,Cockburn Town,TC,2020-06-16 06:14:00,21.46,-71.14,81.68,81,100,14.45
145,Manggar,ID,2020-06-16 06:14:00,-2.88,108.27,84.78,76,71,11.65
146,Mar Del Plata,AR,2020-06-16 06:14:00,-38.0,-57.56,55.0,93,90,13.87
147,Portland,US,2020-06-16 06:10:22,45.52,-122.68,57.0,76,87,6.26
148,Bredasdorp,ZA,2020-06-16 06:14:01,-34.53,20.04,42.8,93,0,3.71
149,Chernyshkovskiy,RU,2020-06-16 06:14:01,48.42,42.23,72.48,48,88,15.03
150,Bambous Virieux,MU,2020-06-16 06:14:01,-20.34,57.76,75.99,64,40,13.87
151,Hun,LY,2020-06-16 06:09:07,29.13,15.95,67.51,58,0,13.51
152,Cidreira,BR,2020-06-16 06:14:02,-30.18,-50.21,60.78,88,4,13.22
153,La Crosse,US,2020-06-16 06:12:47,43.8,-91.24,71.6,43,1,9.17
154,Chapleau,CA,2020-06-16 06:14:02,47.84,-83.4,49.75,50,86,8.12
155,Iwanai,JP,2020-06-16 06:14:02,42.97,140.51,62.53,87,97,3.51
156,Davidson,US,2020-06-16 06:14:03,36.15,-86.78,68.0,82,1,6.02
157,Fort Nelson,CA,2020-06-16 06:14:03,58.81,-122.7,48.2,93,90,4.7
158,Sept-Iles,CA,2020-06-16 06:14:03,50.2,-66.38,41.0,86,20,2.24
159,Berlevag,NO,2020-06-16 06:14:03,70.86,29.09,44.6,70,40,23.04
160,Faanui,PF,2020-06-16 06:14:04,-16.48,-151.75,78.87,86,46,14.61
161,Hamilton,US,2020-06-16 06:14:04,39.18,-84.53,64.99,87,1,4.61
162,Pevek,RU,2020-06-16 06:14:04,69.7,170.31,45.9,65,15,4.47
163,Palma,ES,2020-06-16 06:13:53,39.57,2.65,70.0,88,96,1.12
164,Cape Town,ZA,2020-06-16 06:10:57,-33.93,18.42,45.0,93,0,2.24
165,Victoria,HK,2020-06-16 06:12:06,22.29,114.16,86.0,91,0,5.99
166,Nanortalik,GL,2020-06-16 06:14:06,60.14,-45.24,40.28,93,100,9.48
167,Karratha,AU,2020-06-16 06:14:06,-20.74,116.85,83.3,29,0,12.73
168,Safford,US,2020-06-16 06:14:06,32.83,-109.71,80.6,39,75,5.82
169,Kerrville,US,2020-06-16 06:10:00,30.05,-99.14,71.6,83,1,7.83
170,Sydney,AU,2020-06-16 06:10:07,-33.87,151.21,69.01,40,1,11.41
171,Mapiripan,CO,2020-06-16 06:14:07,2.89,-72.13,71.44,96,6,3.6
172,Esperance,AU,2020-06-16 06:14:08,-33.87,121.9,64.4,52,40,11.41
173,Brae,GB,2020-06-16 06:14:08,60.4,-1.35,59.0,82,0,4.7
174,Caorle,IT,2020-06-16 06:14:09,45.6,12.88,66.0,92,94,6.44
175,Bathsheba,BB,2020-06-16 06:14:09,13.22,-59.52,80.6,74,40,19.46
176,Shimoda,JP,2020-06-16 06:14:09,34.67,138.95,80.01,78,20,10.29
177,Port Hardy,CA,2020-06-16 06:10:11,50.7,-127.42,51.8,87,75,3.36
178,Vila Velha,BR,2020-06-16 06:14:10,-20.33,-40.29,69.8,94,90,5.82
179,Kinna,SE,2020-06-16 06:14:10,57.51,12.69,63.0,55,88,2.24
180,Gushikawa,JP,2020-06-16 06:14:11,26.35,127.87,87.8,84,40,17.22
181,Abu Dhabi,AE,2020-06-16 06:14:11,24.47,54.37,98.6,42,66,8.05
182,Ibra,OM,2020-06-16 06:14:11,22.69,58.53,101.57,22,96,3.04
183,Wanning,CN,2020-06-16 06:14:11,18.8,110.4,80.87,82,97,19.33
