City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
239,Fort Collins,US,40.59,-105.08,57.99,71,1,3.04,clear sky,0.0,0
240,Beringovskiy,RU,63.05,179.32,49.32,50,100,6.67,overcast clouds,0.0,0
241,Juarez,MX,31.73,-106.48,89.6,17,75,16.11,broken clouds,0.0,0
242,Chuy,UY,-33.7,-53.46,54.1,95,94,3.24,overcast clouds,0.0,0
243,Lavrentiya,RU,65.58,-171.0,55.27,41,0,15.3,clear sky,0.0,0
244,Hithadhoo,MV,-0.6,73.08,82.2,79,100,14.94,light rain,0.57,0
245,Bayir,TR,37.27,28.22,64.4,93,0,2.24,clear sky,0.0,0
246,Yar-Sale,RU,66.83,70.83,52.57,50,74,15.97,broken clouds,0.0,0
247,Alofi,NU,-19.06,-169.92,78.8,65,34,10.29,scattered clouds,0.0,0
248,Singaraja,ID,-8.11,115.09,85.35,61,100,2.26,overcast clouds,0.0,0
249,Karasjok,NO,69.47,25.51,48.2,57,0,11.41,clear sky,0.0,0
250,Kruisfontein,ZA,-34.0,24.73,59.2,35,50,12.57,scattered clouds,0.0,0
251,Vao,NC,-22.67,167.48,68.76,80,37,20.51,scattered clouds,0.0,0
252,Camana,PE,-16.62,-72.71,61.66,78,85,7.78,overcast clouds,0.0,0
253,Shahreza,IR,32.03,51.88,81.95,15,0,6.85,clear sky,0.0,0
254,Chumikan,RU,54.72,135.31,44.31,85,99,11.63,overcast clouds,0.0,0
255,Tagusao,PH,9.19,117.81,87.3,62,83,3.74,broken clouds,0.0,0
256,Nichinan,JP,31.6,131.37,73.4,69,75,5.82,broken clouds,0.0,0
257,San Patricio,MX,19.22,-104.7,78.42,70,1,1.19,clear sky,0.0,0
258,Sao Filipe,CV,14.9,-24.5,75.49,81,0,11.79,clear sky,0.0,0
259,Camacupa,AO,-12.02,17.48,44.83,73,0,4.03,clear sky,0.0,0
260,Beipiao,CN,41.79,120.78,93.92,22,0,18.57,clear sky,0.0,0
261,Bestobe,KZ,52.5,73.1,53.83,45,0,9.86,clear sky,0.0,0
262,Buin,CL,-33.73,-70.75,48.2,100,75,2.24,mist,0.0,0
263,Zhigansk,RU,66.77,123.37,77.72,31,25,11.34,scattered clouds,0.0,0
264,Praxedis Guerrero,MX,31.37,-106.02,89.6,17,75,16.11,broken clouds,0.0,0
265,Neiafu,TO,-18.65,-173.98,78.8,65,75,11.41,broken clouds,0.0,0
