City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
636,Meulaboh,ID,86.67,overcast clouds,4.14,96.13,Kost Pria
638,Lakatoro,VU,80.6,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
642,Kysyl-Syr,RU,82.15,clear sky,63.9,122.76,
643,Xining,CN,75.79,scattered clouds,36.62,101.77,Super Leisure Hotel
645,Candolim,IN,78.8,shower rain,15.52,73.76,Resort Terra Paraiso
647,Batagay-Alyta,RU,84.4,clear sky,67.8,130.41,
655,Tabou,CI,77.41,overcast clouds,4.42,-7.35,hotêl doufoulougou
656,Port Hedland,AU,84.2,clear sky,-20.32,118.57,The Esplanade Hotel
662,Oistins,BB,78.8,light rain,13.07,-59.53,Butterfly Beach Hotel
664,Uvalde,US,80.6,broken clouds,29.37,-99.77,
667,Sao Jose Da Coroa Grande,BR,76.51,scattered clouds,-8.9,-35.15,Crôa Mares Hotel
670,Springdale,US,75.2,clear sky,36.19,-94.13,Springdale Inn
673,Voh,NC,75.58,scattered clouds,-20.97,164.7,Le gîte du Koniambo
680,Tateyama,JP,78.01,broken clouds,34.98,139.87,Tateyama Seaside Hotel
688,Manzanillo,CU,77.99,overcast clouds,20.34,-77.12,Adrian & Tonia
691,Manoharpur,IN,87.8,haze,27.3,75.95,कैथल हरियाणा होटल
692,Urumqi,CN,80.6,clear sky,43.8,87.6,Hua Ling Grand Hotel Urumqi
693,Goure,NE,82.0,broken clouds,13.98,10.27,
695,Maceio,BR,75.2,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
697,Olinda,BR,80.6,few clouds,-8.01,-34.86,Hotel 5 Sóis
702,Dubti,ET,88.93,clear sky,11.74,41.09,
703,Alugan,PH,86.11,few clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
705,Langue,HN,75.7,broken clouds,13.62,-87.65,"Hotel ""El Centro"""
706,Ocos,GT,78.8,broken clouds,14.51,-92.19,La Bajadita
712,Hay River,CA,77.0,few clouds,60.82,-115.8,Ptarmigan Inn Hotels
713,Lazaro Cardenas,MX,79.03,clear sky,17.96,-102.2,Hotel Quinta Antigua
714,Piacabucu,BR,76.19,scattered clouds,-10.41,-36.43,Piaçabuçu News
717,Clifton,US,75.2,few clouds,40.86,-74.16,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
719,Matara,LK,85.3,overcast clouds,5.95,80.54,Amaloh Boutique Resort
722,Dingle,PH,89.33,clear sky,11.0,122.67,Camp Pasica
723,Cotoca,BO,75.2,scattered clouds,-17.82,-63.05,Sede Parque de los Recuerdos
724,Surt,LY,86.59,clear sky,31.21,16.59,City Hotel
726,Darnah,LY,76.89,clear sky,32.77,22.64,زاوية الرفاعي
727,Kupang,ID,85.77,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
739,Black River,JM,84.0,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
740,Mizdah,LY,84.25,clear sky,31.45,12.98,محمدالمبروك الاريقط
744,Varangaon,IN,87.49,overcast clouds,21.02,75.9,Rajmata jijau nagar varangaon
745,Guhagar,IN,84.34,overcast clouds,17.48,73.19,Hotel Seawinds
749,Pyay,MM,80.96,overcast clouds,18.82,95.22,Shwe Pyi Thar
751,Hirara,JP,89.6,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
756,Biltine,TD,78.71,scattered clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
762,Celestun,MX,81.97,broken clouds,20.87,-90.4,Posada Lilia
